SRR6267054,5716384,242702,0,6302607,3050683
SRR6267046,4231343,285152,0,4900947,2351177
SRR6267050,4970856,155151,0,5406931,2653585
SRR6267051,4900876,261292,0,5512973,2642214
SRR6267052,5337112,262208,0,5936639,2890973
SRR6267049,5589291,260608,0,6229890,3026677
SRR6267047,5194775,287073,0,5890882,2819383
SRR6267048,5820531,246374,0,6415363,3119554
SRR6267057,5136869,203791,0,5642189,2772419
SRR6267055,4549808,283416,0,5280400,2511975
SRR6267058,3944675,132291,0,4295416,2125831
SRR6267056,5826745,265140,0,6499795,3152489
SRR6267053,5869565,278667,0,6563245,3166334
SRR6267059,4409664,319816,0,5163089,2452806
SRR6267060,7007340,426169,0,8129406,3814344
SRR6267063,4877398,285864,0,5585367,2674960
SRR6267061,6313332,277809,0,7036093,3399306
SRR6267065,5987572,293226,0,6674459,3210550
SRR6267064,5058132,237483,0,5634256,2717601
SRR6267062,6341690,140353,0,6705219,3337544
SRR6267066,6254622,169729,0,6709364,3313624
SRR6267067,5015385,491138,0,6107753,2856134
SRR6267068,6224215,249993,0,6823537,3339313
SRR6267070,5328828,265285,0,6004124,2881209
SRR6267069,6958291,230382,0,7526993,3701303
SRR6267073,4400158,132176,0,4756875,2327523
SRR6267072,6307198,387279,0,7262813,3446863
SRR6267074,5443112,201340,0,5917216,2895171
SRR6267071,7092817,263415,0,7713429,3770066
SRR6267075,3978322,135722,0,4334485,2133975
SRR6267076,4844661,197519,0,5348804,2578074
SRR6267077,3643680,160294,0,4042845,1942903
SRR6267078,4061861,229984,0,4651481,2222317
SRR6267083,3408242,108940,0,3681140,1813540
SRR6267082,4098139,221467,0,4670177,2209739
SRR6267079,4041318,233016,0,4623382,2210611
SRR6267081,5256113,290189,0,5937730,2844790
SRR6267086,4503693,198350,0,4977077,2415195
SRR6267080,6088400,256472,0,6760763,3241964
SRR6267084,4031959,206944,0,4537608,2192367
SRR6267085,4174939,236469,0,4725475,2274633
SRR6267088,5598830,249207,0,6192386,3024034
SRR6267087,5695064,158109,0,6136296,3011889
SRR6267092,4259890,209485,0,4744483,2305143
SRR6267091,4289091,177809,0,4730115,2315556
SRR6267089,4854484,165674,0,5262689,2596712
SRR6267093,4322794,177285,0,4788129,2333979
SRR6267090,4339034,155099,0,4734063,2324808
SRR6267099,3843820,172728,0,4251366,2067194
SRR6267094,4030090,195009,0,4517417,2190861
SRR6267095,4964840,178777,0,5408144,2653122
SRR6267096,4983108,226310,0,5506437,2689079
SRR6267097,4926368,205109,0,5437622,2654023
SRR6267101,4045651,148124,0,4397111,2142010
SRR6267098,5639195,252561,0,6221185,3030645
SRR6267100,4035559,167954,0,4443301,2168876
SRR6267102,3965876,178959,0,4381083,2148603
SRR6267105,5145712,214186,0,5742643,2736978
SRR6267109,4724281,91235,0,4960377,2501952
SRR6267103,4576884,190201,0,5043667,2457361
SRR6267104,5226144,167795,0,5639698,2783753
SRR6267106,4441606,137512,0,4798766,2383245
SRR6267110,4963672,126720,0,5293172,2618806
SRR6267107,5438261,181250,0,5905095,2903157
SRR6267108,5468628,167977,0,5885220,2916992
SRR6267113,5404928,294914,0,6146126,2932839
SRR6267114,4484939,119084,0,4769242,2363090
SRR6267115,5206318,236061,0,5769986,2806402
SRR6267117,3550493,232435,0,4103976,1979665
SRR6267112,5965860,162184,0,6379633,3157829
SRR6267111,5174777,180812,0,5647443,2769748
SRR6267123,3802083,184415,0,4246843,2085886
SRR6267116,4958900,124407,0,5277886,2635709
SRR6267119,5429577,290587,0,6156402,2952742
SRR6267121,4442417,126034,0,4799910,2367827
SRR6267122,4129083,303574,0,4903918,2300540
SRR6267127,5003195,128157,0,5326054,2625000
SRR6267125,4577759,115680,0,4900743,2413365
SRR6267130,4938552,397613,0,5794241,2736210
SRR6267120,8443704,323088,0,9212461,4487857
SRR6267131,5786890,201532,0,6308057,3066987
SRR6267128,4236151,149049,0,4643983,2272371
SRR6267126,4322012,144054,0,4693258,2312883
SRR6267118,6821178,266412,0,7481668,3641685
SRR6267124,5853971,416029,0,6847460,3213216
SRR6267129,5749719,285695,0,6455593,3106432
SRR6267133,4371184,191279,0,4856932,2366791
SRR6267134,4413682,119896,0,4745371,2341367
SRR6267137,5424700,155555,0,5806010,2860821
SRR6267132,4415243,251998,0,5008419,2410085
SRR6267135,4596326,240890,0,5197650,2480032
SRR6267136,5203325,159489,0,5628333,2771772
SRR6267138,5593425,527206,0,6828413,3159968
